Invalid Left	Invalid Right	Neutral Left	Neutral Right	Valid Left	Valid Right
41.88636363636363	43.47727272727273	52.60454545454545	42.66818181818182	40.44318181818182	31.687499999999996
12.767584097859327	18.709043250327653	17.581913499344694	10.44779379641765	12.628331148973349	12.805810397553518
21.210995542347696	31.575037147102528	33.22436849925706	29.847696879643383	26.188707280832094	20.77451708766716
30.766944114149823	45.48156956004756	30.023781212841858	29.88703923900119	38.28032104637337	21.930737217598097
47.757894736842104	53.22105263157895	32.98105263157895	29.023157894736848	29.960526315789465	22.821052631578947
65.61930783242259	44.26229508196721	35.81056466302368	29.00728597449909	32.19489981785064	26.753187613843348
15.017064846416382	20.30716723549488	17.332764505119453	16.926621160409557	11.52090443686007	16.01109215017065
30.1953336950624	28.323385784047748	34.1833966359197	40.176342919153555	26.46161150298427	31.30086814975583
19.951040391676866	15.085679314565484	20.862913096695227	18.629130966952268	18.237454100367195	18.348378212974296
24.341751746372914	7.039226222461043	17.91778613648576	21.8941429339065	16.97004298764105	14.97178936055884
18.50296442687747	29.199604743083004	20.081521739130437	17.630928853754938	14.880805335968383	24.660326086956527
54.500657030223394	43.13403416557162	52.50328515111696	63.77135348226018	41.540735873850196	50.19710906701709
74.4136460554371	44.08315565031983	48.326226012793185	47.33475479744136	37.99307036247335	37.260127931769716
25.774818401937043	42.04600484261501	23.5181598062954	26.365617433414048	19.27360774818402	19.51271186440678
28.965702036441588	25.214362272240088	35.11254019292604	30.7609860664523	27.344587352625943	21.737674169346192
18.958076448828606	31.658446362515413	32.77435265104809	23.138101109741065	20.16029593094944	27.427558569667077
21.972656250000004	34.993489583333336	30.3515625	40.266927083333336	23.990885416666664	25.4150390625
58.59519408502772	28.142329020332717	40.480591497227365	50.12939001848429	53.15388170055453	54.67883548983364
15.783815480844408	14.298279906176699	19.204456606724	22.550820953870215	16.558346364347145	20.545836591086793
41.09756097560976	47.957317073170735	46.8109756097561	39.89634146341463	42.59146341463415	50.167682926829265
11.788617886178862	12.955107811947684	9.78437610463061	15.982679392011315	10.197949805585013	9.300989749027924
19.546070460704605	10.941734417344176	11.562330623306233	12.586720867208669	10.716463414634147	14.74762872628726
20.84057971014493	11.521739130434781	16.08695652173913	15.000000000000004	21.481884057971016	23.898550724637676
53.3459595959596	28.535353535353536	40.227272727272734	52.1590909090909	43.43434343434343	44.94949494949495
31.33651551312649	23.22195704057279	27.066825775656334	25.274463007159902	22.18675417661098	30.390811455847256
40.62977099236642	37.767175572519086	37.847328244274806	39.65648854961832	39.45133587786259	38.544847328244266
8.480176211453744	7.353439512029821	9.939003727549984	7.1941714672992205	11.915452389020672	7.150118603863097
19.287949921752737	17.820813771517997	22.523474178403756	27.973395931142413	14.67136150234742	19.224374021909235
33.932291666666664	22.916666666666664	24.625000000000004	19.395833333333332	17.20052083333333	19.641927083333336
48.0	37.529411764705884	39.18823529411765	48.05882352941177	38.044117647058826	39.74999999999999
